,date,open,high,low,close,volume
7477,2022-03-02 21:00:00+00:00,300.3,300.3,300.3,300.3,0.0
7478,2022-03-03 14:30:00+00:00,302.89,303.13,300.87,301.335,41104.0
7479,2022-03-03 14:45:00+00:00,301.45,302.31,300.555,300.9,14787.0
7480,2022-03-03 15:00:00+00:00,300.92,301.325,299.875,300.11,15984.0
7481,2022-03-03 15:15:00+00:00,300.16,300.16,297.585,298.345,18093.0
7482,2022-03-03 15:30:00+00:00,298.37,298.6,297.26,297.29,13700.0
7483,2022-03-03 15:45:00+00:00,297.305,297.69,296.43,296.44,15455.0
7484,2022-03-03 16:00:00+00:00,296.43,297.07,296.255,296.39,15228.0
7485,2022-03-03 16:15:00+00:00,296.31,297.65,296.04,297.33,20093.0
7486,2022-03-03 16:30:00+00:00,297.32,297.63,296.48,297.17,19795.0
7487,2022-03-03 16:45:00+00:00,297.185,297.61,296.37,297.215,14946.0
7488,2022-03-03 17:00:00+00:00,297.24,297.825,296.95,297.67,11682.0
7489,2022-03-03 17:15:00+00:00,297.745,297.815,295.75,296.035,11555.0
7490,2022-03-03 17:30:00+00:00,296.045,299.32,295.76,297.82,16292.0
7491,2022-03-03 17:45:00+00:00,297.755,298.12,297.23,297.77,12363.0
7492,2022-03-03 18:00:00+00:00,297.735,298.38,297.465,297.94,10992.0
7493,2022-03-03 18:15:00+00:00,297.925,298.5,297.86,298.13,10757.0
7494,2022-03-03 18:30:00+00:00,298.1,298.13,296.765,296.98,14511.0
7495,2022-03-03 18:45:00+00:00,296.97,298.055,296.78,297.84,19669.0
7496,2022-03-03 19:00:00+00:00,297.845,298.3,297.215,298.12,17758.0
7497,2022-03-03 19:15:00+00:00,298.13,298.205,297.54,297.81,19858.0
7498,2022-03-03 19:30:00+00:00,297.8,297.825,296.145,296.27,20915.0
7499,2022-03-03 19:45:00+00:00,296.265,296.39,295.215,295.9,45049.0
7500,2022-03-03 20:00:00+00:00,295.82,295.87,295.01,295.285,32669.0
7501,2022-03-03 20:15:00+00:00,295.295,295.81,294.875,295.76,36198.0
7502,2022-03-03 20:30:00+00:00,295.73,295.73,294.3,294.49,36825.0
7503,2022-03-03 20:45:00+00:00,294.435,296.0,294.06,295.94,48915.0
7504,2022-03-03 21:00:00+00:00,295.94,295.94,295.94,295.94,0.0
7505,2022-03-04 14:30:00+00:00,294.29,295.61,291.46,291.46,40939.0
7506,2022-03-04 14:45:00+00:00,291.58,292.415,289.67,292.17,34165.0
